ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
379,Amazing Coco,37,6,16.21,2,12,0,22/12/2021
380,Amazing Fairy,47,7,14.89,3,12,12,20/12/2021
381,Amazing Lad,2,1,50,1,1,1,11/11/2021
382,Amazing Prince,3,1,33.33,1,2,2,22/01/2021
383,Amazing Queenie,27,6,22.22,1,7,5,07/10/2021
384,Amazing Rose,9,0,0,0,9,9,31/05/2021
385,Amazing Talent,18,4,22.22,2,10,1,26/12/2021
386,Amelia Sue,39,4,10.25,1,15,2,04/12/2021
387,Amelias Duchess,1,0,0,0,1,1,16/01/2021
388,Amelias Firebird,4,0,0,0,4,4,30/09/2021
389,Amelias Hi Ace,2,0,0,0,2,2,18/02/2021
390,Amelias Jester,50,2,4,1,27,5,29/12/2021
391,Amendola,9,2,22.22,2,6,6,24/09/2021
392,Ameras Topaz,3,0,0,0,3,3,15/03/2021
393,Amiable Aiden,22,6,27.27,1,7,1,23/12/2021
394,Amirillo,10,0,0,0,10,10,11/09/2021
395,Amka Erth,26,5,19.23,2,12,2,23/12/2021
396,Amka Owt,16,6,37.5,3,4,1,02/09/2021
397,Amka Rofe,2,0,0,0,2,2,04/09/2021
398,Ammas Grace,20,2,10,1,10,10,06/08/2021
399,Amuse The Droop,15,4,26.66,1,5,1,09/09/2021
400,Amwhatiam,18,2,11.11,1,7,6,08/06/2021
401,Amy Allie,4,0,0,0,4,4,24/12/2021
402,Amys Blue,8,1,12.5,1,5,5,06/11/2021
403,Amys Honey,13,1,7.69,1,12,12,31/10/2021
404,Amys Lee,25,3,12,1,10,3,27/12/2021
405,Amys Pinky,45,9,20,2,10,1,24/12/2021
406,Amys Puma,1,0,0,0,1,1,09/01/2021
407,Amys Sky,5,0,0,0,5,5,17/02/2021
408,Anamcara,40,8,20,3,14,1,23/12/2021
409,Anastasia,15,3,20,1,5,1,28/12/2021
410,Ancient East,32,6,18.75,3,12,0,20/12/2021
411,Andgofromthere,9,2,22.22,1,4,4,22/03/2021
412,Andys Heather,41,6,14.63,2,21,0,02/12/2021
413,Anfield Star,37,6,16.21,2,17,5,14/12/2021
414,Anfield Storm,42,9,21.42,3,12,5,30/12/2021
415,Angel Cakes,22,5,22.72,2,10,0,23/12/2021
416,Angel Of Light,12,2,16.66,2,7,7,23/09/2021
417,Angelas Rocket,39,3,7.69,1,16,9,16/11/2021
418,Angelina,44,8,18.18,3,12,0,29/11/2021
419,Angels Spirit,13,4,30.76,2,4,1,29/06/2021
420,Angies Girl,18,2,11.11,1,6,4,27/12/2021
421,Anglesey A Five,4,0,0,0,4,4,04/02/2021
422,Anglesey Gogirl,3,0,0,0,3,3,13/04/2021
423,Anglesey Hondo,1,0,0,0,1,1,13/04/2021
424,Anglesey Meeko,16,1,6.25,1,9,9,07/07/2021
425,Anglesey Patch,1,0,0,0,1,1,13/01/2021
426,Anglesey Solo,1,0,0,0,1,1,10/01/2021
427,Angry Betty,3,0,0,0,3,3,14/02/2021
428,Angry Granny,23,7,30.43,1,6,6,27/12/2021
429,Angry River,4,0,0,0,4,4,08/06/2021
430,Anhid Charmer,39,8,20.51,1,9,2,28/12/2021
431,Anmima Biddy,54,10,18.51,5,16,1,29/12/2021
432,Annabels Rose,6,1,16.66,1,5,0,21/12/2021
433,Annadown Blitz,37,10,27.02,2,9,3,11/12/2021
434,Annadown Cain,37,8,21.62,1,6,4,27/12/2021
435,Annadown Diva,38,9,23.68,2,7,2,19/12/2021
436,Annadown Linda,28,4,14.28,1,10,10,27/12/2021
437,Annadown Lola,29,5,17.24,2,8,1,27/12/2021
438,Annadown Lorna,4,0,0,0,4,4,27/07/2021
439,Annadown Lucy,19,5,26.31,2,9,9,04/12/2021
440,Annadown Tank,9,1,11.11,1,5,3,12/08/2021
441,Annagh Beauty,10,2,20,1,6,0,07/04/2021
442,Annagh Blake,38,7,18.42,2,9,4,23/10/2021
443,Annagh Jess,2,0,0,0,2,2,17/02/2021
444,Annagh Matt,18,5,27.77,2,5,2,24/06/2021
445,Annagh Matt,18,5,27.77,2,5,2,24/06/2021
446,Annagh Mike,21,1,4.76,1,17,17,02/10/2021
447,Annagh Rosie,7,2,28.57,2,4,1,20/12/2021
448,Annaghdown Vic,29,8,27.58,2,7,2,28/12/2021
449,Annaghdown Vicky,2,0,0,0,2,2,30/04/2021
450,Annaghdown Vinny,41,8,19.51,2,11,3,21/12/2021
451,Annas Secret,56,9,16.07,2,15,3,29/12/2021
452,Annies Bandit,7,1,14.28,1,5,1,10/03/2021
453,Annies Buddy,16,2,12.5,1,8,1,18/05/2021
454,Anniversary Girl,6,1,16.66,1,3,2,15/06/2021
455,Anns Lucie,58,6,10.34,1,21,1,29/12/2021
456,Annual Increase,24,6,25,2,7,7,29/09/2021
457,Annual Mitzi,3,0,0,0,3,3,30/11/2021
458,Annual Pass,30,11,36.66,5,5,2,20/12/2021
459,Annual Problem,26,4,15.38,2,10,10,07/12/2021
460,Annual Sabbath,29,5,17.24,2,9,4,10/08/2021
461,Annual Sydney,3,1,33.33,1,1,1,27/12/2021
462,Another Archie,9,1,11.11,1,6,6,31/07/2021
463,Another Delight,22,2,9.09,1,9,8,28/10/2021
464,Another Dove,16,4,25,1,3,2,30/12/2021
465,Another Matt,20,3,15,2,8,4,02/06/2021
466,Another Pablo,5,2,40,1,2,2,08/11/2021
467,Another Review,34,3,8.82,1,18,7,01/11/2021
468,Another Sod,7,4,57.14,1,1,0,11/12/2021
469,Antigua Bigun,6,2,33.33,2,3,1,14/12/2021
470,Antigua Billy,18,2,11.11,1,12,12,09/12/2021
471,Antigua Bruiser,13,0,0,0,13,13,01/10/2021
472,Antigua Bullet,10,4,40,3,4,4,11/09/2021
473,Antigua Jet,10,1,10,1,8,1,20/12/2021
474,Antigua Littlun,10,4,40,2,4,0,06/12/2021
475,Antigua Mememe,1,0,0,0,1,1,20/04/2021
476,Antigua Noel,12,2,16.66,1,5,2,28/12/2021
477,Antigua Pearl,11,1,9.09,1,10,10,16/03/2021
478,Antigua Socks,3,1,33.33,1,1,1,11/04/2021
479,Antonella,9,6,66.66,3,2,0,15/05/2021
480,Anvic Lively,18,4,22.22,2,9,9,29/12/2021
481,Any Answer,1,0,0,0,1,1,08/02/2021
482,Any Hint,26,5,19.23,2,8,8,01/07/2021
483,Any Moment Now,1,0,0,0,1,1,04/12/2021
484,Anynamewilldo,7,2,28.57,2,4,1,21/12/2021
485,Anynewswithyou,4,0,0,0,4,4,27/01/2021
486,Anyone Upstairs,11,0,0,0,11,11,21/12/2021
487,Aodhans Champ,28,4,14.28,1,9,2,29/12/2021
488,Aoifes Mixture,4,0,0,0,4,4,25/05/2021
489,Aoifes Romeo,50,11,22,2,7,6,31/12/2021
490,Apache Girl,19,2,10.52,2,13,4,28/10/2021
491,Apostle,13,1,7.69,1,6,6,21/12/2021
492,Apparently,21,2,9.52,1,10,10,03/06/2021
493,Apple Pie,2,0,0,0,2,2,25/11/2021
494,Appleby Queen,26,3,11.53,2,12,8,30/12/2021
495,Appleby Rosie,2,0,0,0,2,2,01/02/2021
496,Aquaman,18,4,22.22,1,7,2,28/12/2021
497,Arcadian,23,5,21.73,2,6,3,04/11/2021
498,Archgrove Emily,2,0,0,0,2,2,23/04/2021
499,Archgrove Eve,16,3,18.75,1,8,2,15/11/2021
500,Archgrove Joey,27,4,14.81,2,11,2,01/09/2021
501,Archgrove Kate,7,1,14.28,1,5,5,09/08/2021
502,Archgrove Polly,37,5,13.51,1,11,11,26/07/2021
503,Archgrove Tiger,43,6,13.95,2,15,15,27/12/2021
504,Archie Boy,10,0,0,0,10,10,03/05/2021
505,Archies Girl,22,4,18.18,3,13,2,31/12/2021
506,Archonei,1,0,0,0,1,1,12/05/2021
507,Arctic Assassin,11,1,9.09,1,9,9,13/05/2021
508,Arcturis Thunder,1,0,0,0,1,1,28/07/2021
509,Ardagh Cadain,2,0,0,0,2,2,13/01/2021
510,Ardera Aster,11,2,18.18,2,6,6,26/05/2021
511,Ardera Blake,30,6,20,3,13,4,30/12/2021
512,Ardera Charm,7,1,14.28,1,5,1,14/11/2021
513,Ardera Crystal,25,8,32,2,6,6,13/12/2021
514,Ardera Dottie,1,0,0,0,1,1,14/01/2021
515,Ardera Dutch,13,5,38.46,2,4,2,19/12/2021
516,Ardera Echo,12,2,16.66,1,6,6,29/12/2021
517,Ardera Faye,7,0,0,0,7,7,08/11/2021
518,Ardera Hector,28,4,14.28,1,14,4,30/12/2021
519,Ardera Jade,37,7,18.91,2,6,4,17/12/2021
520,Ardera Karen,9,3,33.33,3,5,1,21/10/2021
521,Ardera Lady,18,3,16.66,1,6,6,29/12/2021
522,Ardera Madison,1,0,0,0,1,1,20/11/2021
523,Ardera Mel,15,2,13.33,1,7,7,07/06/2021
524,Ardera Niamh,50,8,16,1,9,6,28/12/2021
525,Ardera Nidge,9,1,11.11,1,8,8,27/11/2021
526,Ardera Paul,9,1,11.11,1,7,7,09/10/2021
527,Ardera Salah,2,0,0,0,2,2,11/01/2021
528,Ardera Shrek,42,4,9.52,2,24,24,23/09/2021
529,Ardera Stella,5,2,40,1,1,1,24/09/2021
530,Ardera Tank,15,3,20,2,5,5,27/12/2021
531,Ardera Tess,16,2,12.5,1,9,0,29/12/2021
532,Ardera Velvet,5,1,20,1,3,3,30/12/2021
533,Ardera Violet,20,4,20,1,7,6,31/12/2021
534,Arderin Shadow,15,2,13.33,1,6,4,27/12/2021
535,Ardfert Jody,29,4,13.79,1,8,8,13/09/2021
536,Ardfert Marvel,10,4,40,2,5,0,17/12/2021
537,Ardfield Ace,18,3,16.66,2,10,4,28/09/2021
538,Ardmore Jet,32,3,9.38,1,10,9,23/11/2021
539,Ardmore Jet,32,3,9.38,1,10,9,23/11/2021
540,Ardnasool Flash,27,5,18.51,2,8,8,16/12/2021
541,Ardnasool Sky,32,7,21.87,2,6,1,30/12/2021
542,Ardrahan Arya,12,2,16.66,1,4,4,26/03/2021
543,Ardrahan Bell,19,1,5.26,1,13,5,07/07/2021
544,Ardrahan Maybe,11,2,18.18,2,6,3,09/07/2021
545,Ardrahan Trade,10,0,0,0,10,10,28/05/2021
546,Ardralla Gary,4,0,0,0,4,4,03/02/2021
547,Ardralla Simon,7,0,0,0,7,7,23/12/2021
548,Ardralla Sophie,27,6,22.22,1,7,0,23/08/2021
549,Ardrath Albert,5,1,20,1,3,1,15/04/2021
550,Ardscull Daisy,4,1,25,1,2,2,27/12/2021
551,Ardscull Prince,16,2,12.5,1,6,2,24/11/2021
552,Ardscull Tango,3,0,0,0,3,3,29/12/2021
553,Are You Busy,6,1,16.66,1,3,2,24/03/2021
554,Are You Married,7,0,0,0,7,7,25/05/2021
555,Areyawithma,17,4,23.52,1,5,0,24/12/2021
556,Argenziano,3,0,0,0,3,3,26/12/2021
557,Arizona Blue,24,3,12.5,1,11,6,05/08/2021
558,Arizona Dove,6,0,0,0,6,6,10/03/2021
559,Ark Angel,4,1,25,1,2,2,10/04/2021
560,Arlos Sweep,4,1,25,1,2,1,19/12/2021
561,Armando,12,1,8.33,1,7,4,22/04/2021
562,Armani Baby,33,4,12.12,1,13,7,22/12/2021
563,Armani Diamond,6,0,0,0,6,6,24/09/2021
564,Arrigle Black,13,4,30.76,2,6,1,18/12/2021
565,Art Of Speed,6,2,33.33,2,3,1,11/04/2021
566,Arterbury,23,4,17.39,1,12,3,13/09/2021
567,Arterbury Anna,38,9,23.68,2,11,0,27/12/2021
568,Arterbury Blue,53,8,15.09,2,24,24,30/12/2021
569,Arterbury Mandy,15,1,6.67,1,11,3,01/06/2021
570,Arterbury Sam,17,2,11.76,1,7,2,26/06/2021
571,Arthur Banana,11,0,0,0,11,11,03/05/2021
572,Arthur Banana,11,0,0,0,11,11,03/05/2021
573,Arthur Bean,25,2,8,1,16,16,24/09/2021
574,Arthur Biscuit,45,10,22.22,1,7,4,08/12/2021
575,Arthur Mushroom,13,2,15.38,1,7,1,26/05/2021
576,Arthur Parsnip,36,6,16.66,2,10,7,24/09/2021
577,Arthur Peanut,33,8,24.24,2,14,14,23/08/2021
578,Arthur Pickle,1,1,100,1,0,0,30/09/2021
579,Arthur Pumpkin,1,1,100,1,0,0,11/06/2021
580,Artistic Lad,3,0,0,0,3,3,14/02/2021
581,Artistic Vision,9,1,11.11,1,8,8,29/12/2021
582,Arzon Blackie,26,3,11.53,1,10,1,29/12/2021
583,As Happy As Gail,12,3,25,2,7,1,17/10/2021
584,As Mary Said,25,5,20,1,10,0,12/10/2021
585,Ascot Blake,19,5,26.31,2,6,1,18/12/2021
586,Ascot Danny,20,3,15,1,5,5,26/05/2021
587,Ascot Dora,12,2,16.66,1,7,0,27/12/2021
588,Ascot Emer,15,2,13.33,1,9,9,30/04/2021
589,Ascot Izzy,7,3,42.85,3,4,4,23/12/2021
590,Ascot Jan,6,1,16.66,1,5,0,21/12/2021
591,Ascot Luke,27,3,11.11,1,12,12,03/08/2021
592,Ascot Maisie,23,1,4.35,1,22,22,30/12/2021
593,Ascot Zoey,4,1,25,1,3,0,22/12/2021
594,Asgood As Blue,4,2,50,2,2,0,31/12/2021
595,Ashbank Boss,34,7,20.58,2,8,6,19/12/2021
596,Ashbank Cruz,2,0,0,0,2,2,19/12/2021
597,Ashbank Linda,37,7,18.91,1,12,12,17/11/2021
598,Ashbank Megan,12,3,25,2,5,2,30/12/2021
599,Ashbank Swift,39,10,25.64,1,14,0,29/12/2021
600,Ashbank Wilma,36,9,25,2,11,0,31/12/2021
601,Ashbourne Actor,13,1,7.69,1,8,4,10/07/2021
602,Ashburn Rush,26,6,23.07,2,10,4,31/10/2021
603,Ashbury Class,16,2,12.5,1,8,5,09/04/2021
604,Ashfield Bomber,1,0,0,0,1,1,29/09/2021
605,Ashgrove Jo,21,3,14.28,2,16,16,02/06/2021
606,Ashgrove Lass,24,4,16.66,1,6,3,22/12/2021
607,Ashgrove Lola,7,1,14.28,1,5,5,22/03/2021
608,Ashgrove Loner,11,1,9.09,1,9,9,19/06/2021
609,Ashgrove Magic,25,5,20,2,6,5,28/12/2021
610,Ashgrove Miley,12,2,16.66,2,6,4,22/12/2021
611,Ashgrove Rover,19,2,10.52,1,7,6,31/12/2021
612,Ashgrove Style,8,1,12.5,1,7,7,28/05/2021
613,Ashgrove Sydney,7,0,0,0,7,7,17/12/2021
614,Ashlings Girl,6,0,0,0,6,6,28/12/2021
615,Ashmar Rosie,10,0,0,0,10,10,17/11/2021
616,Ashville Blondie,6,2,33.33,2,4,0,20/12/2021
617,Ashville Maid,7,2,28.57,1,2,2,06/05/2021
618,Ashville Raider,4,2,50,1,1,0,07/12/2021
619,Ashville Ranger,10,0,0,0,10,10,02/03/2021
620,Ashway Billy,52,7,13.46,3,16,6,15/11/2021
621,Ashway Blues,52,14,26.92,2,10,1,23/12/2021
622,Ashway Bubbles,20,4,20,2,7,4,29/12/2021
623,Ashway Daisy,48,6,12.5,2,17,3,31/12/2021
624,Ashway Freddy,46,13,28.26,3,13,4,30/12/2021
625,Ashway Harry,16,3,18.75,2,5,5,27/12/2021
626,Ashway Jack,25,2,8,1,17,6,16/06/2021
627,Ashway Pearl,52,13,25,3,5,1,29/12/2021
628,Ashway Ruby,50,7,14,1,10,3,30/12/2021
629,Ashway Snowy,43,8,18.6,1,15,1,31/12/2021
630,Ashway Toby,42,8,19.04,2,14,1,30/12/2021
631,Ashway Tommy,7,3,42.85,2,3,0,27/12/2021
632,Ashwood Dream,7,0,0,0,7,7,18/09/2021
633,Ashwood Elsie,19,1,5.26,1,15,3,19/11/2021
634,Ashwood Lucy,35,8,22.85,3,11,5,18/11/2021
635,Ashwood Rankin,4,0,0,0,4,4,31/01/2021
636,Ashwood Ziggy,6,0,0,0,6,6,10/12/2021
637,Asia,24,1,4.17,1,14,9,26/12/2021
638,Ask Andy,49,5,10.2,2,11,9,26/12/2021
639,Ask Blake,9,1,11.11,1,5,3,23/12/2021
640,Ask Gary,41,5,12.19,2,12,11,31/12/2021
641,Ask The Audience,19,4,21.05,2,7,3,26/12/2021
642,Ask The Doctor,13,2,15.38,1,8,0,21/12/2021
643,Askari,4,0,0,0,4,4,06/03/2021
644,Aspiration,33,6,18.18,1,8,3,26/12/2021
645,Asterisk,30,9,30,2,7,1,17/12/2021
646,Astonish,21,1,4.76,1,11,9,20/12/2021
647,Astonishing,7,0,0,0,7,7,16/02/2021
648,Astra Illusion,6,1,16.66,1,4,1,07/12/2021
649,Astra Kizer,47,6,12.76,1,12,12,02/12/2021
650,Astro Millie,1,0,0,0,1,1,06/01/2021
651,Astute Diamond,24,2,8.33,1,13,3,20/10/2021
652,At Ease,7,2,28.57,1,3,3,30/12/2021
653,At The Ranch,25,4,16,2,8,6,30/12/2021
654,At Your Ease,9,2,22.22,2,4,4,26/03/2021
655,Ath An Mhuiliun,37,10,27.02,2,11,3,27/12/2021
656,Athboy Diva,15,2,13.33,1,7,4,14/03/2021
657,Athenas Law,4,0,0,0,4,4,11/12/2021
658,Atherton Park,2,1,50,1,1,0,29/12/2021
659,Athlacca Ace,16,4,25,1,7,1,19/12/2021
660,Athlacca Chorus,5,1,20,1,3,1,29/12/2021
661,Athlacca Sailor,7,2,28.57,2,4,4,25/11/2021
662,Athlacca Silver,24,2,8.33,1,10,10,08/07/2021
663,Atrocity,10,0,0,0,10,10,21/06/2021
664,Attaboy Clarence,5,1,20,1,4,4,22/10/2021
665,Atticora,24,4,16.66,1,10,0,14/09/2021
666,Atzeni,11,2,18.18,2,6,3,17/12/2021
667,Au Contraire,12,2,16.66,1,6,0,30/12/2021
668,Auchen Haggis,12,6,50,3,3,3,31/12/2021
669,Auchen Whiskey,26,6,23.07,2,13,2,09/09/2021
670,Aughaboy Angel,15,1,6.67,1,11,3,14/04/2021
671,Aughaboy Katie,40,7,17.5,3,16,4,15/12/2021
672,Aughavas Lass,47,8,17.02,1,16,9,24/12/2021
673,Aughrim Perenara,56,11,19.64,2,16,2,28/12/2021
674,Auld Mcdonald,11,1,9.09,1,7,3,03/12/2021
675,Aulton Jetta,9,3,33.33,1,4,0,20/04/2021
676,Aulton Patsy,24,3,12.5,1,12,2,21/11/2021
677,Aulton Ringo,4,0,0,0,4,4,10/09/2021
678,Aunt Audie,22,4,18.18,2,10,1,11/06/2021
679,Aunty May,2,1,50,1,1,1,29/01/2021
680,Aurora,3,1,33.33,1,2,0,27/12/2021
681,Aurora Carranna,35,6,17.14,1,11,2,27/12/2021
682,Autoknowbetter,16,1,6.25,1,10,10,17/12/2021
683,Autumn Artisan,4,0,0,0,4,4,23/12/2021
684,Autumn Defender,3,0,0,0,3,3,15/12/2021
685,Autumn Defiant,16,3,18.75,1,8,1,30/12/2021
686,Autumn Epona,13,2,15.38,2,9,9,19/05/2021
687,Autumn Freida,1,0,0,0,1,1,14/01/2021
688,Autumn Freya,19,2,10.52,1,12,4,31/10/2021
689,Autumn Iris,22,4,18.18,2,8,3,22/09/2021
690,Autumn Jupiter,10,2,20,1,5,1,09/11/2021
691,Autumn Momentus,11,3,27.27,1,3,2,28/07/2021
692,Autumn Reaper,7,0,0,0,7,7,06/05/2021
693,Autumn Sky,47,9,19.14,3,14,5,27/12/2021
694,Autumn Typhoon,12,3,25,2,7,0,28/12/2021
695,Autumn Valiant,1,0,0,0,1,1,16/01/2021
696,Autumn Warrior,24,8,33.33,2,6,2,21/12/2021
697,Avant Garde,37,9,24.32,3,13,2,22/12/2021
698,Avas Court,39,4,10.25,1,20,8,29/12/2021
699,Avas Fancy,27,5,18.51,2,10,8,23/11/2021
700,Avas Flyer,3,1,33.33,1,1,1,03/02/2021
701,Avelines Girl,34,11,32.35,3,7,2,29/12/2021
702,Avenue Patsy,28,5,17.85,2,6,5,29/12/2021
703,Aviemore,37,6,16.21,2,21,0,27/12/2021
704,Avion Blueboy,18,3,16.66,2,11,11,17/09/2021
705,Avion Charlie,20,4,20,1,11,11,04/11/2021
706,Avion Merlin,6,1,16.66,1,3,2,26/10/2021
707,Avion Milo,6,0,0,0,6,6,10/11/2021
708,Avion Onyx,5,1,20,1,4,4,12/11/2021
709,Avion Tiffany,1,0,0,0,1,1,15/11/2021
710,Avongate Cudi,5,1,20,1,4,4,07/10/2021
711,Avongate Cudi,5,1,20,1,4,4,07/10/2021
712,Avongate Dmaggio,15,3,20,1,7,7,31/12/2021
713,Avongate Kelly,6,3,50,3,2,1,27/12/2021
714,Avongate Matty,6,0,0,0,6,6,23/12/2021
715,Avongate Model,6,0,0,0,6,6,30/07/2021
716,Avongate Nina,4,1,25,1,3,0,26/12/2021
717,Avongate Sofia,8,4,50,2,2,0,31/12/2021
718,Avongate Stella,2,1,50,1,1,0,29/12/2021
719,Avonside Bert,10,1,10,1,9,9,31/12/2021
720,Avonside Faith,11,3,27.27,2,7,1,28/12/2021
721,Avonside Golly,16,1,6.25,1,11,11,02/11/2021
722,Avonside Jim,13,3,23.07,1,7,7,08/08/2021
723,Avonside Oryt,25,7,28,2,13,0,30/12/2021
724,Avonside Salvo,17,4,23.52,2,8,8,29/12/2021
725,Avonside Wull,33,4,12.12,1,11,9,23/12/2021
726,Award Winner,38,7,18.42,2,9,1,16/12/2021
727,Away Bailey,22,9,40.9,2,4,3,30/12/2021
728,Away Lady,16,2,12.5,1,9,0,19/12/2021
729,Awayday Jane,28,4,14.28,1,9,4,12/10/2021
730,Awayhegoes,4,1,25,1,3,0,23/09/2021
731,Awayinahack,26,6,23.07,2,7,4,29/12/2021
732,Awbeg,19,6,31.57,1,4,1,25/10/2021
733,Awesome Act,42,4,9.52,1,16,12,22/12/2021
734,Awesome Ava,7,0,0,0,7,7,18/12/2021
735,Awesome Boy,12,1,8.33,1,6,6,26/07/2021
736,Awesome Chick,2,1,50,1,1,1,24/03/2021
737,Awesome Cian,20,5,25,2,7,3,27/12/2021
738,Awesome Harry,7,0,0,0,7,7,31/03/2021
739,Awesome Jimbo,10,1,10,1,5,5,31/12/2021
740,Awesome Niamh,1,0,0,0,1,1,25/11/2021
741,Awordinedgeways,16,2,12.5,1,11,1,21/12/2021
742,Ay Up Abbie,4,1,25,1,2,1,24/12/2021
743,Ay Up Brook,35,9,25.71,2,7,4,28/12/2021
744,Ay Up Buster,8,0,0,0,8,8,27/12/2021
745,Ay Up Heidi,9,1,11.11,1,4,4,14/05/2021
746,Ay Up Ollie,8,0,0,0,8,8,26/12/2021
747,Ay Up Poppy,5,2,40,1,2,0,24/10/2021
748,Ay Up Sally,2,0,0,0,2,2,07/12/2021
749,Ay Up Sydney,8,2,25,1,4,1,24/12/2021
750,Ayeisha,36,5,13.88,2,16,1,23/12/2021
751,Ayle Blake,4,1,25,1,3,3,30/04/2021
752,Ayle Of Freedom,3,0,0,0,3,3,18/12/2021
753,Ayle Of Hope,16,2,12.5,1,7,7,17/08/2021
754,Aylesford Lass,24,3,12.5,1,15,0,09/10/2021
755,Ayling,20,3,15,2,12,12,21/12/2021
756,Ayrton Bobcat,16,0,0,0,16,16,02/11/2021
757,Ayrton Hellcat,3,0,0,0,3,3,26/07/2021
758,Aztec Warrior,6,0,0,0,6,6,03/06/2021
759,Azza Bella,14,3,21.42,2,6,5,23/12/2021
760,Azza Diamond,33,8,24.24,2,5,3,28/12/2021
761,Azza Mojo,10,2,20,1,3,2,23/12/2021
762,Azzurri Blossom,36,5,13.88,2,14,9,31/12/2021
763,Azzurri Mocha,3,2,66.66,2,1,0,01/02/2021
